image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
joy.10.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.17.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.22.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.28.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.30.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.36.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.38.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.41.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.42.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.45.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.47.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.5.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.53.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.57.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.59.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.62.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.64.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.65.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.7.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
joy.9.jpg,0.004,0.0,0.001,0.025,0.8,0.013,0.067,0.091
neutral.12.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.2.jpg,0.001,0.007,0.001,0.001,0.001,0.755,0.232,0.002
neutral.24.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.3.jpg,0.001,0.007,0.003,0.024,0.0,0.785,0.074,0.106
neutral.34.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.35.jpg,0.001,0.007,0.003,0.024,0.0,0.785,0.074,0.106
neutral.36.jpg,0.001,0.007,0.003,0.024,0.0,0.785,0.074,0.106
neutral.40.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.41.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.42.jpg,0.001,0.007,0.003,0.024,0.0,0.785,0.074,0.106
neutral.53.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.6.jpg,0.001,0.007,0.003,0.024,0.0,0.785,0.074,0.106
neutral.61.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.62.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.64.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.65.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.68.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.70.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.74.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
neutral.79.jpg,0.001,0.022,0.001,0.003,0.001,0.855,0.104,0.014
sadness.0.jpg,0.037,0.003,0.011,0.066,0.001,0.696,0.127,0.059
sadness.12.jpg,0.037,0.003,0.011,0.066,0.001,0.696,0.127,0.059
sadness.13.jpg,0.037,0.003,0.011,0.066,0.001,0.696,0.127,0.059
sadness.2.jpg,0.037,0.003,0.011,0.066,0.001,0.696,0.127,0.059
