image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
anger.11.jpg,,,,,,,,
anger.12.jpg,0.144,0.001,0.012,0.003,0.01,0.769,0.008,0.055
anger.14.jpg,0.144,0.001,0.012,0.003,0.01,0.769,0.008,0.055
anger.16.jpg,0.144,0.001,0.012,0.003,0.01,0.769,0.008,0.055
anger.2.jpg,0.144,0.001,0.012,0.003,0.01,0.769,0.008,0.055
anger.20.jpg,,,,,,,,
anger.23.jpg,,,,,,,,
anger.24.jpg,0.144,0.001,0.012,0.003,0.01,0.769,0.008,0.055
anger.28.jpg,,,,,,,,
anger.29.jpg,0.144,0.001,0.012,0.003,0.01,0.769,0.008,0.055
anger.32.jpg,0.144,0.001,0.012,0.003,0.01,0.769,0.008,0.055
anger.42.jpg,,,,,,,,
anger.44.jpg,0.144,0.001,0.012,0.003,0.01,0.769,0.008,0.055
anger.55.jpg,,,,,,,,
anger.6.jpg,0.144,0.001,0.012,0.003,0.01,0.769,0.008,0.055
anger.65.jpg,0.144,0.001,0.012,0.003,0.01,0.769,0.008,0.055
anger.71.jpg,0.144,0.001,0.012,0.003,0.01,0.769,0.008,0.055
anger.72.jpg,,,,,,,,
anger.78.jpg,0.144,0.001,0.012,0.003,0.01,0.769,0.008,0.055
anger.8.jpg,,,,,,,,
disgust.1.jpg,0.01,0.001,0.003,0.0,0.002,0.979,0.002,0.003
disgust.10.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
disgust.16.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
disgust.26.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
disgust.34.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
disgust.36.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
disgust.37.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
disgust.39.jpg,0.01,0.001,0.003,0.0,0.002,0.979,0.002,0.003
disgust.40.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
disgust.44.jpg,0.01,0.001,0.003,0.0,0.002,0.979,0.002,0.003
disgust.45.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
disgust.51.jpg,0.01,0.001,0.003,0.0,0.002,0.979,0.002,0.003
disgust.55.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
disgust.61.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
disgust.67.jpg,0.01,0.001,0.003,0.0,0.002,0.979,0.002,0.003
disgust.69.jpg,0.01,0.001,0.003,0.0,0.002,0.979,0.002,0.003
disgust.70.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
disgust.71.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
disgust.79.jpg,0.01,0.001,0.003,0.0,0.002,0.979,0.002,0.003
disgust.8.jpg,0.027,0.0,0.001,0.001,0.0,0.958,0.001,0.011
joy.11.jpg,0.0,0.002,0.001,0.0,0.478,0.518,0.001,0.0
joy.13.jpg,0.001,0.001,0.001,0.001,0.357,0.199,0.002,0.437
joy.17.jpg,0.0,0.001,0.0,0.0,0.993,0.006,0.0,0.0
joy.19.jpg,0.0,0.001,0.0,0.0,0.993,0.006,0.0,0.0
joy.20.jpg,0.0,0.001,0.0,0.0,0.993,0.006,0.0,0.0
joy.26.jpg,0.0,0.001,0.0,0.0,0.993,0.006,0.0,0.0
joy.3.jpg,0.0,0.001,0.0,0.0,0.988,0.011,0.0,0.0
joy.35.jpg,0.0,0.001,0.0,0.0,0.993,0.006,0.0,0.0
joy.36.jpg,0.0,0.0,0.0,0.0,0.726,0.273,0.001,0.0
joy.37.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.41.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.47.jpg,0.0,0.001,0.0,0.0,0.988,0.011,0.0,0.0
joy.49.jpg,0.0,0.001,0.0,0.0,0.993,0.006,0.0,0.0
joy.53.jpg,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0
joy.62.jpg,0.0,0.002,0.001,0.0,0.478,0.518,0.001,0.0
joy.64.jpg,0.0,0.005,0.0,0.0,0.902,0.09,0.002,0.0
joy.71.jpg,0.0,0.001,0.0,0.0,0.993,0.006,0.0,0.0
joy.72.jpg,0.0,0.0,0.0,0.0,0.726,0.273,0.001,0.0
joy.76.jpg,0.0,0.005,0.0,0.0,0.902,0.09,0.002,0.0
joy.78.jpg,0.0,0.001,0.0,0.0,0.993,0.006,0.0,0.0
neutral.0.jpg,0.007,0.001,0.001,0.004,0.001,0.879,0.002,0.105
neutral.13.jpg,0.022,0.001,0.003,0.0,0.004,0.965,0.001,0.003
neutral.15.jpg,0.0,0.004,0.001,0.0,0.53,0.462,0.002,0.001
neutral.16.jpg,0.012,0.008,0.014,0.001,0.004,0.945,0.004,0.01
neutral.18.jpg,0.012,0.008,0.014,0.001,0.004,0.945,0.004,0.01
neutral.24.jpg,0.008,0.028,0.037,0.0,0.006,0.916,0.003,0.0
neutral.26.jpg,0.0,0.004,0.001,0.0,0.53,0.462,0.002,0.001
neutral.36.jpg,0.003,0.172,0.005,0.0,0.019,0.794,0.007,0.0
neutral.38.jpg,0.0,0.004,0.001,0.0,0.53,0.462,0.002,0.001
neutral.4.jpg,0.006,0.0,0.0,0.001,0.0,0.983,0.002,0.008
neutral.40.jpg,0.012,0.008,0.014,0.001,0.004,0.945,0.004,0.01
neutral.44.jpg,0.003,0.172,0.005,0.0,0.019,0.794,0.007,0.0
neutral.48.jpg,0.008,0.028,0.037,0.0,0.006,0.916,0.003,0.0
neutral.56.jpg,0.008,0.028,0.037,0.0,0.006,0.916,0.003,0.0
neutral.59.jpg,0.003,0.172,0.005,0.0,0.019,0.794,0.007,0.0
neutral.66.jpg,0.002,0.036,0.002,0.0,0.017,0.936,0.007,0.001
neutral.68.jpg,0.015,0.063,0.056,0.001,0.004,0.845,0.01,0.006
neutral.69.jpg,0.008,0.028,0.037,0.0,0.006,0.916,0.003,0.0
neutral.75.jpg,0.003,0.172,0.005,0.0,0.019,0.794,0.007,0.0
neutral.78.jpg,0.015,0.063,0.056,0.001,0.004,0.845,0.01,0.006
surprise.0.jpg,0.011,0.005,0.003,0.001,0.001,0.971,0.004,0.004
surprise.13.jpg,0.011,0.005,0.003,0.001,0.001,0.971,0.004,0.004
surprise.23.jpg,0.102,0.001,0.015,0.002,0.03,0.789,0.021,0.04
surprise.25.jpg,0.011,0.005,0.003,0.001,0.001,0.971,0.004,0.004
surprise.27.jpg,0.102,0.001,0.015,0.002,0.03,0.789,0.021,0.04
surprise.29.jpg,0.016,0.0,0.001,0.0,0.0,0.969,0.001,0.012
surprise.32.jpg,0.016,0.0,0.001,0.0,0.0,0.969,0.001,0.012
surprise.4.jpg,0.102,0.001,0.015,0.002,0.03,0.789,0.021,0.04
surprise.41.jpg,0.016,0.0,0.001,0.0,0.0,0.969,0.001,0.012
surprise.47.jpg,0.011,0.005,0.003,0.001,0.001,0.971,0.004,0.004
surprise.49.jpg,0.025,0.006,0.036,0.005,0.002,0.828,0.008,0.091
surprise.50.jpg,0.016,0.0,0.001,0.0,0.0,0.969,0.001,0.012
surprise.52.jpg,0.016,0.0,0.001,0.0,0.0,0.969,0.001,0.012
surprise.54.jpg,0.016,0.0,0.001,0.0,0.0,0.969,0.001,0.012
surprise.56.jpg,0.016,0.0,0.001,0.0,0.0,0.969,0.001,0.012
surprise.62.jpg,0.025,0.006,0.036,0.005,0.002,0.828,0.008,0.091
surprise.63.jpg,0.102,0.001,0.015,0.002,0.03,0.789,0.021,0.04
surprise.64.jpg,0.01,0.001,0.003,0.02,0.003,0.797,0.007,0.159
surprise.70.jpg,0.016,0.0,0.001,0.0,0.0,0.969,0.001,0.012
surprise.74.jpg,0.051,0.043,0.013,0.001,0.004,0.879,0.005,0.004
