image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
joy.1.jpg,0.0,0.0,0.0,0.0,0.959,0.04,0.0,0.0
joy.21.jpg,0.0,0.006,0.0,0.0,0.572,0.409,0.012,0.001
joy.23.jpg,0.0,0.001,0.0,0.0,0.793,0.205,0.0,0.0
joy.26.jpg,0.0,0.001,0.0,0.0,0.963,0.037,0.0,0.0
joy.33.jpg,0.0,0.001,0.0,0.0,0.793,0.205,0.0,0.0
joy.34.jpg,0.0,0.006,0.0,0.0,0.572,0.409,0.012,0.001
joy.37.jpg,0.0,0.0,0.0,0.0,0.959,0.04,0.0,0.0
joy.39.jpg,0.0,0.008,0.0,0.0,0.83,0.161,0.0,0.0
joy.43.jpg,0.0,0.009,0.0,0.0,0.812,0.179,0.001,0.0
joy.48.jpg,0.0,0.006,0.0,0.0,0.572,0.409,0.012,0.001
joy.49.jpg,0.0,0.0,0.0,0.0,0.959,0.04,0.0,0.0
joy.52.jpg,0.0,0.001,0.0,0.0,0.793,0.205,0.0,0.0
joy.53.jpg,0.0,0.001,0.0,0.0,0.793,0.205,0.0,0.0
joy.54.jpg,0.0,0.009,0.0,0.0,0.812,0.179,0.001,0.0
joy.57.jpg,0.0,0.006,0.0,0.0,0.572,0.409,0.012,0.001
joy.6.jpg,0.0,0.009,0.0,0.0,0.812,0.179,0.001,0.0
joy.62.jpg,0.0,0.001,0.0,0.0,0.793,0.205,0.0,0.0
joy.64.jpg,0.0,0.008,0.0,0.0,0.83,0.161,0.0,0.0
joy.65.jpg,0.0,0.008,0.0,0.0,0.83,0.161,0.0,0.0
joy.67.jpg,0.0,0.001,0.0,0.0,0.945,0.054,0.0,0.0
neutral.15.jpg,0.001,0.006,0.0,0.001,0.001,0.916,0.075,0.001
neutral.2.jpg,0.003,0.0,0.0,0.0,0.027,0.965,0.003,0.001
neutral.22.jpg,0.003,0.0,0.0,0.0,0.0,0.988,0.004,0.005
neutral.25.jpg,,,,,,,,
neutral.27.jpg,0.004,0.001,0.0,0.0,0.004,0.967,0.022,0.0
neutral.28.jpg,0.006,0.003,0.005,0.001,0.046,0.92,0.016,0.003
neutral.35.jpg,0.003,0.0,0.0,0.0,0.003,0.971,0.017,0.004
neutral.4.jpg,0.0,0.002,0.0,0.001,0.001,0.846,0.148,0.002
neutral.48.jpg,0.0,0.007,0.0,0.0,0.259,0.729,0.004,0.0
neutral.53.jpg,0.0,0.006,0.0,0.0,0.215,0.767,0.01,0.001
neutral.57.jpg,0.0,0.001,0.0,0.0,0.029,0.962,0.008,0.0
neutral.59.jpg,0.002,0.004,0.001,0.001,0.003,0.972,0.015,0.003
neutral.6.jpg,0.0,0.003,0.0,0.0,0.002,0.971,0.023,0.0
neutral.62.jpg,0.007,0.004,0.001,0.0,0.007,0.972,0.008,0.001
neutral.65.jpg,0.001,0.002,0.001,0.001,0.012,0.962,0.009,0.013
neutral.66.jpg,0.003,0.0,0.0,0.0,0.003,0.971,0.017,0.004
neutral.69.jpg,0.0,0.003,0.0,0.0,0.085,0.904,0.007,0.001
neutral.71.jpg,,,,,,,,
neutral.75.jpg,0.0,0.007,0.0,0.0,0.259,0.729,0.004,0.0
neutral.9.jpg,0.0,0.002,0.0,0.0,0.663,0.329,0.001,0.004
surprise.11.jpg,0.036,0.002,0.006,0.074,0.03,0.607,0.026,0.22
surprise.13.jpg,0.036,0.002,0.006,0.074,0.03,0.607,0.026,0.22
surprise.16.jpg,0.036,0.002,0.006,0.074,0.03,0.607,0.026,0.22
surprise.18.jpg,0.004,0.001,0.002,0.001,0.076,0.904,0.008,0.004
surprise.19.jpg,0.036,0.002,0.006,0.074,0.03,0.607,0.026,0.22
surprise.2.jpg,0.036,0.002,0.006,0.074,0.03,0.607,0.026,0.22
surprise.25.jpg,0.013,0.0,0.003,0.048,0.025,0.124,0.031,0.756
surprise.34.jpg,0.036,0.002,0.006,0.074,0.03,0.607,0.026,0.22
surprise.35.jpg,0.036,0.002,0.006,0.074,0.03,0.607,0.026,0.22
surprise.37.jpg,0.001,0.001,0.001,0.003,0.286,0.585,0.107,0.017
surprise.38.jpg,0.003,0.001,0.001,0.006,0.013,0.806,0.004,0.165
surprise.42.jpg,0.013,0.0,0.003,0.048,0.025,0.124,0.031,0.756
surprise.50.jpg,0.036,0.002,0.006,0.074,0.03,0.607,0.026,0.22
surprise.57.jpg,0.003,0.001,0.001,0.006,0.013,0.806,0.004,0.165
surprise.68.jpg,0.036,0.002,0.006,0.074,0.03,0.607,0.026,0.22
surprise.70.jpg,0.036,0.002,0.006,0.074,0.03,0.607,0.026,0.22
surprise.73.jpg,0.003,0.001,0.001,0.006,0.013,0.806,0.004,0.165
surprise.75.jpg,0.003,0.001,0.001,0.006,0.013,0.806,0.004,0.165
surprise.8.jpg,0.001,0.001,0.001,0.003,0.286,0.585,0.107,0.017
surprise.9.jpg,0.036,0.002,0.006,0.074,0.03,0.607,0.026,0.22
