image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
fear.10.jpg,0.0,0.001,0.001,0.001,0.011,0.729,0.004,0.251
fear.11.jpg,0.003,0.001,0.001,0.006,0.021,0.904,0.009,0.054
fear.12.jpg,0.001,0.001,0.0,0.001,0.122,0.817,0.004,0.053
fear.16.jpg,0.0,0.001,0.001,0.001,0.011,0.729,0.004,0.251
fear.22.jpg,0.004,0.002,0.003,0.005,0.043,0.83,0.007,0.106
fear.24.jpg,0.0,0.0,0.0,0.0,0.214,0.778,0.008,0.0
fear.26.jpg,0.003,0.001,0.001,0.006,0.021,0.904,0.009,0.054
fear.29.jpg,0.0,0.001,0.001,0.001,0.011,0.729,0.004,0.251
fear.36.jpg,0.0,0.0,0.0,0.0,0.214,0.778,0.008,0.0
fear.41.jpg,0.0,0.001,0.0,0.001,0.193,0.786,0.011,0.007
fear.46.jpg,0.003,0.001,0.001,0.006,0.021,0.904,0.009,0.054
fear.48.jpg,0.0,0.001,0.001,0.001,0.011,0.729,0.004,0.251
fear.50.jpg,0.0,0.0,0.0,0.0,0.214,0.778,0.008,0.0
fear.51.jpg,0.004,0.002,0.003,0.005,0.043,0.83,0.007,0.106
fear.52.jpg,0.0,0.0,0.0,0.0,0.214,0.778,0.008,0.0
fear.63.jpg,0.0,0.0,0.0,0.0,0.214,0.778,0.008,0.0
fear.65.jpg,0.004,0.002,0.003,0.005,0.043,0.83,0.007,0.106
fear.75.jpg,0.004,0.002,0.003,0.005,0.043,0.83,0.007,0.106
fear.78.jpg,0.0,0.0,0.0,0.0,0.214,0.778,0.008,0.0
fear.9.jpg,0.003,0.001,0.001,0.006,0.021,0.904,0.009,0.054
neutral.11.jpg,0.0,0.001,0.001,0.0,0.062,0.914,0.02,0.002
neutral.14.jpg,0.001,0.002,0.001,0.001,0.012,0.945,0.005,0.034
neutral.18.jpg,0.001,0.0,0.0,0.001,0.057,0.831,0.002,0.109
neutral.22.jpg,0.003,0.001,0.003,0.009,0.043,0.515,0.007,0.421
neutral.24.jpg,0.0,0.001,0.0,0.001,0.364,0.61,0.017,0.007
neutral.27.jpg,0.0,0.001,0.0,0.0,0.282,0.713,0.003,0.0
neutral.33.jpg,0.0,0.001,0.0,0.001,0.364,0.61,0.017,0.007
neutral.35.jpg,0.002,0.002,0.002,0.001,0.018,0.956,0.01,0.01
neutral.36.jpg,0.001,0.001,0.001,0.0,0.052,0.922,0.005,0.018
neutral.37.jpg,,,,,,,,
neutral.38.jpg,0.001,0.001,0.001,0.005,0.263,0.664,0.026,0.04
neutral.39.jpg,0.002,0.004,0.003,0.0,0.009,0.833,0.148,0.001
neutral.43.jpg,0.0,0.003,0.001,0.0,0.303,0.682,0.009,0.002
neutral.49.jpg,0.001,0.001,0.001,0.002,0.066,0.86,0.015,0.054
neutral.5.jpg,0.0,0.001,0.0,0.0,0.282,0.713,0.003,0.0
neutral.53.jpg,0.001,0.001,0.001,0.005,0.263,0.664,0.026,0.04
neutral.71.jpg,0.0,0.001,0.0,0.001,0.364,0.61,0.017,0.007
neutral.74.jpg,0.001,0.001,0.001,0.005,0.263,0.664,0.026,0.04
neutral.78.jpg,0.0,0.001,0.001,0.0,0.062,0.914,0.02,0.002
neutral.79.jpg,0.001,0.001,0.0,0.001,0.132,0.833,0.012,0.021
sadness.1.jpg,0.001,0.006,0.003,0.001,0.006,0.734,0.246,0.002
sadness.15.jpg,0.0,0.001,0.0,0.0,0.606,0.386,0.005,0.001
sadness.16.jpg,0.001,0.006,0.003,0.001,0.006,0.734,0.246,0.002
sadness.22.jpg,0.001,0.001,0.0,0.0,0.229,0.751,0.016,0.002
sadness.23.jpg,0.001,0.006,0.003,0.001,0.006,0.734,0.246,0.002
sadness.24.jpg,0.001,0.002,0.001,0.001,0.015,0.915,0.06,0.005
sadness.29.jpg,0.001,0.001,0.0,0.0,0.229,0.751,0.016,0.002
sadness.3.jpg,0.0,0.0,0.0,0.001,0.028,0.33,0.64,0.001
sadness.39.jpg,0.0,0.001,0.0,0.0,0.606,0.386,0.005,0.001
sadness.41.jpg,0.001,0.001,0.0,0.0,0.008,0.971,0.016,0.003
sadness.43.jpg,0.001,0.001,0.0,0.0,0.229,0.751,0.016,0.002
sadness.48.jpg,0.001,0.002,0.001,0.001,0.015,0.915,0.06,0.005
sadness.50.jpg,0.0,0.0,0.0,0.0,0.171,0.823,0.004,0.001
sadness.51.jpg,0.0,0.001,0.0,0.0,0.149,0.803,0.045,0.001
sadness.54.jpg,0.003,0.001,0.003,0.002,0.059,0.771,0.158,0.004
sadness.72.jpg,0.0,0.001,0.0,0.0,0.149,0.803,0.045,0.001
sadness.75.jpg,0.004,0.001,0.006,0.0,0.001,0.949,0.035,0.004
sadness.76.jpg,0.0,0.0,0.0,0.0,0.171,0.823,0.004,0.001
sadness.79.jpg,0.001,0.006,0.003,0.001,0.006,0.734,0.246,0.002
sadness.8.jpg,0.0,0.001,0.0,0.0,0.149,0.803,0.045,0.001
