image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
joy.20.jpg,0.0,0.0,0.0,0.0,0.994,0.005,0.0,0.0
joy.21.jpg,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0.0
joy.24.jpg,0.002,0.0,0.0,0.0,0.975,0.022,0.0,0.001
joy.26.jpg,0.075,0.001,0.025,0.001,0.731,0.157,0.002,0.009
joy.29.jpg,0.005,0.0,0.001,0.0,0.984,0.009,0.0,0.001
joy.35.jpg,,,,,,,,
joy.37.jpg,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0
joy.38.jpg,0.0,0.0,0.0,0.0,0.822,0.136,0.0,0.041
joy.40.jpg,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0
joy.44.jpg,0.075,0.001,0.025,0.001,0.731,0.157,0.002,0.009
joy.46.jpg,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0.0
joy.48.jpg,0.0,0.0,0.0,0.0,0.95,0.035,0.0,0.013
joy.52.jpg,0.002,0.0,0.0,0.0,0.975,0.022,0.0,0.001
joy.54.jpg,0.004,0.0,0.0,0.001,0.834,0.132,0.001,0.027
joy.62.jpg,0.075,0.001,0.025,0.001,0.731,0.157,0.002,0.009
joy.70.jpg,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0
joy.71.jpg,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0
joy.73.jpg,0.004,0.0,0.0,0.001,0.834,0.132,0.001,0.027
joy.76.jpg,0.0,0.0,0.0,0.0,0.997,0.002,0.0,0.0
joy.9.jpg,,,,,,,,
neutral.10.jpg,0.034,0.004,0.014,0.001,0.445,0.492,0.003,0.007
neutral.11.jpg,0.0,0.0,0.0,0.0,0.567,0.432,0.0,0.0
neutral.13.jpg,0.036,0.001,0.005,0.003,0.158,0.578,0.002,0.217
neutral.14.jpg,0.001,0.0,0.0,0.001,0.35,0.59,0.001,0.056
neutral.17.jpg,0.008,0.002,0.006,0.0,0.198,0.781,0.003,0.002
neutral.21.jpg,0.0,0.0,0.0,0.0,0.588,0.407,0.004,0.0
neutral.29.jpg,0.0,0.0,0.0,0.0,0.09,0.909,0.0,0.0
neutral.34.jpg,0.072,0.001,0.013,0.002,0.537,0.353,0.004,0.018
neutral.35.jpg,0.002,0.0,0.001,0.0,0.459,0.529,0.001,0.008
neutral.38.jpg,0.005,0.0,0.001,0.002,0.367,0.57,0.005,0.05
neutral.4.jpg,0.011,0.001,0.002,0.003,0.321,0.551,0.003,0.107
neutral.45.jpg,0.018,0.002,0.012,0.0,0.364,0.6,0.001,0.002
neutral.47.jpg,0.0,0.0,0.0,0.0,0.206,0.793,0.002,0.0
neutral.51.jpg,0.246,0.002,0.036,0.0,0.054,0.652,0.002,0.007
neutral.57.jpg,0.005,0.001,0.002,0.001,0.191,0.784,0.002,0.015
neutral.6.jpg,0.153,0.001,0.02,0.0,0.021,0.792,0.001,0.012
neutral.60.jpg,0.094,0.003,0.037,0.001,0.018,0.835,0.004,0.009
neutral.68.jpg,0.0,0.0,0.0,0.0,0.588,0.407,0.004,0.0
neutral.71.jpg,0.007,0.0,0.002,0.0,0.75,0.237,0.001,0.002
neutral.73.jpg,,,,,,,,
