image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
joy.1.jpg,,,,,,,,
joy.20.jpg,0.0,0.0,0.0,0.0,0.725,0.274,0.0,0.0
joy.21.jpg,0.0,0.0,0.0,0.0,0.911,0.089,0.0,0.0
joy.30.jpg,0.0,0.0,0.0,0.0,0.829,0.171,0.0,0.0
joy.40.jpg,0.0,0.0,0.0,0.0,0.985,0.015,0.0,0.0
joy.44.jpg,0.0,0.0,0.0,0.0,0.534,0.465,0.0,0.0
joy.45.jpg,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0
joy.46.jpg,0.0,0.0,0.0,0.0,0.71,0.283,0.0,0.006
joy.50.jpg,0.0,0.009,0.001,0.0,0.458,0.53,0.001,0.0
joy.53.jpg,0.0,0.002,0.0,0.0,0.297,0.694,0.007,0.0
joy.54.jpg,0.0,0.0,0.0,0.0,0.923,0.076,0.0,0.0
joy.59.jpg,0.0,0.0,0.0,0.0,0.262,0.737,0.0,0.0
joy.60.jpg,0.0,0.0,0.0,0.0,0.965,0.035,0.0,0.0
joy.61.jpg,,,,,,,,
joy.62.jpg,0.0,0.0,0.0,0.0,0.765,0.225,0.0,0.01
joy.63.jpg,0.0,0.002,0.0,0.0,0.297,0.694,0.007,0.0
joy.66.jpg,0.001,0.002,0.001,0.001,0.101,0.852,0.04,0.002
joy.7.jpg,0.0,0.0,0.0,0.0,0.678,0.322,0.0,0.0
joy.71.jpg,0.0,0.0,0.0,0.0,0.765,0.225,0.0,0.01
joy.8.jpg,0.0,0.0,0.0,0.0,0.84,0.159,0.001,0.0
neutral.22.jpg,0.0,0.001,0.0,0.0,0.0,0.972,0.027,0.0
neutral.25.jpg,0.0,0.002,0.0,0.0,0.227,0.765,0.005,0.0
neutral.27.jpg,0.0,0.003,0.0,0.0,0.487,0.509,0.0,0.0
neutral.3.jpg,0.0,0.001,0.0,0.0,0.0,0.972,0.027,0.0
neutral.30.jpg,0.0,0.0,0.0,0.0,0.07,0.924,0.0,0.006
neutral.31.jpg,0.0,0.002,0.0,0.0,0.029,0.965,0.003,0.0
neutral.34.jpg,0.0,0.0,0.0,0.0,0.07,0.924,0.0,0.006
neutral.38.jpg,0.0,0.0,0.0,0.0,0.0,0.974,0.025,0.0
neutral.39.jpg,0.0,0.004,0.0,0.0,0.0,0.485,0.509,0.0
neutral.4.jpg,0.0,0.0,0.0,0.0,0.001,0.994,0.003,0.001
neutral.46.jpg,0.0,0.001,0.0,0.0,0.0,0.972,0.027,0.0
neutral.47.jpg,0.0,0.004,0.0,0.0,0.0,0.485,0.509,0.0
neutral.51.jpg,0.0,0.0,0.0,0.0,0.0,0.994,0.004,0.001
neutral.57.jpg,0.0,0.002,0.0,0.0,0.064,0.93,0.002,0.001
neutral.59.jpg,0.0,0.001,0.0,0.0,0.018,0.961,0.02,0.0
neutral.62.jpg,,,,,,,,
neutral.7.jpg,0.0,0.001,0.0,0.0,0.018,0.961,0.02,0.0
neutral.70.jpg,0.0,0.0,0.0,0.0,0.0,0.994,0.004,0.001
neutral.73.jpg,0.0,0.001,0.0,0.0,0.0,0.972,0.027,0.0
neutral.79.jpg,0.0,0.0,0.0,0.0,0.001,0.994,0.003,0.001
surprise.0.jpg,0.0,0.0,0.0,0.0,0.0,0.639,0.001,0.36
surprise.12.jpg,0.042,0.008,0.006,0.012,0.007,0.891,0.005,0.029
surprise.17.jpg,,,,,,,,
surprise.22.jpg,,,,,,,,
surprise.27.jpg,0.005,0.001,0.003,0.004,0.01,0.933,0.008,0.036
surprise.33.jpg,,,,,,,,
surprise.39.jpg,0.0,0.0,0.0,0.001,0.014,0.632,0.03,0.321
surprise.42.jpg,0.0,0.001,0.001,0.006,0.001,0.8,0.02,0.171
surprise.43.jpg,,,,,,,,
surprise.45.jpg,,,,,,,,
surprise.5.jpg,0.0,0.001,0.001,0.006,0.001,0.8,0.02,0.171
surprise.53.jpg,0.042,0.008,0.006,0.012,0.007,0.891,0.005,0.029
surprise.56.jpg,0.0,0.001,0.001,0.006,0.001,0.8,0.02,0.171
surprise.57.jpg,0.0,0.001,0.001,0.006,0.001,0.8,0.02,0.171
surprise.61.jpg,,,,,,,,
surprise.63.jpg,0.005,0.001,0.003,0.004,0.01,0.933,0.008,0.036
surprise.71.jpg,0.005,0.001,0.003,0.004,0.01,0.933,0.008,0.036
surprise.73.jpg,0.042,0.012,0.019,0.047,0.019,0.792,0.052,0.018
surprise.76.jpg,,,,,,,,
surprise.9.jpg,0.042,0.012,0.019,0.047,0.019,0.792,0.052,0.018
