image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
joy.1.jpg,0.0,0.001,0.0,0.0,0.856,0.142,0.001,0.0
joy.14.jpg,0.0,0.0,0.0,0.0,0.116,0.866,0.0,0.017
joy.16.jpg,0.0,0.0,0.0,0.0,0.907,0.082,0.002,0.009
joy.19.jpg,0.0,0.0,0.0,0.0,0.004,0.995,0.001,0.0
joy.2.jpg,0.0,0.0,0.0,0.0,0.004,0.995,0.001,0.0
joy.23.jpg,0.0,0.001,0.0,0.0,0.026,0.97,0.003,0.0
joy.24.jpg,0.0,0.006,0.0,0.0,0.156,0.833,0.005,0.0
joy.3.jpg,0.0,0.0,0.0,0.0,0.116,0.866,0.0,0.017
joy.38.jpg,0.0,0.0,0.0,0.0,0.907,0.082,0.002,0.009
joy.4.jpg,0.0,0.0,0.0,0.0,0.907,0.082,0.002,0.009
joy.45.jpg,0.0,0.001,0.0,0.0,0.856,0.142,0.001,0.0
joy.46.jpg,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0
joy.56.jpg,0.0,0.005,0.0,0.0,0.153,0.839,0.003,0.0
joy.62.jpg,0.0,0.001,0.0,0.0,0.856,0.142,0.001,0.0
joy.64.jpg,0.0,0.005,0.0,0.0,0.153,0.839,0.003,0.0
joy.7.jpg,0.0,0.0,0.0,0.0,0.648,0.351,0.0,0.0
joy.74.jpg,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0
joy.77.jpg,0.0,0.006,0.0,0.0,0.156,0.833,0.005,0.0
joy.8.jpg,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0
joy.9.jpg,0.0,0.006,0.0,0.0,0.156,0.833,0.005,0.0
neutral.11.jpg,0.001,0.001,0.001,0.0,0.0,0.994,0.002,0.001
neutral.12.jpg,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
neutral.15.jpg,0.0,0.0,0.0,0.0,0.009,0.989,0.002,0.0
neutral.16.jpg,0.0,0.0,0.0,0.0,0.005,0.994,0.001,0.0
neutral.22.jpg,0.0,0.0,0.0,0.0,0.0,0.977,0.022,0.0
neutral.27.jpg,0.0,0.001,0.0,0.0,0.0,0.995,0.003,0.0
neutral.36.jpg,0.034,0.002,0.001,0.0,0.0,0.936,0.026,0.0
neutral.38.jpg,0.001,0.001,0.001,0.007,0.001,0.813,0.012,0.164
neutral.4.jpg,0.147,0.001,0.006,0.002,0.004,0.826,0.006,0.008
neutral.40.jpg,0.0,0.0,0.0,0.0,0.001,0.998,0.0,0.0
neutral.44.jpg,0.001,0.0,0.0,0.0,0.001,0.979,0.018,0.001
neutral.50.jpg,0.004,0.004,0.001,0.0,0.011,0.976,0.003,0.0
neutral.62.jpg,0.0,0.0,0.0,0.0,0.0,0.977,0.022,0.0
neutral.63.jpg,0.034,0.002,0.001,0.0,0.0,0.936,0.026,0.0
neutral.66.jpg,0.034,0.002,0.001,0.0,0.0,0.936,0.026,0.0
neutral.68.jpg,0.001,0.0,0.0,0.0,0.0,0.969,0.001,0.028
neutral.69.jpg,0.0,0.0,0.0,0.0,0.073,0.926,0.0,0.001
neutral.70.jpg,0.0,0.001,0.0,0.0,0.0,0.895,0.103,0.001
neutral.76.jpg,0.001,0.001,0.001,0.007,0.001,0.813,0.012,0.164
neutral.8.jpg,0.0,0.012,0.0,0.0,0.028,0.953,0.007,0.0
surprise.13.jpg,0.017,0.0,0.002,0.006,0.0,0.543,0.001,0.432
surprise.16.jpg,0.002,0.0,0.001,0.003,0.0,0.917,0.017,0.06
surprise.19.jpg,0.003,0.001,0.002,0.002,0.0,0.932,0.007,0.054
surprise.25.jpg,0.017,0.0,0.002,0.006,0.0,0.543,0.001,0.432
surprise.26.jpg,0.002,0.0,0.002,0.05,0.0,0.63,0.01,0.305
surprise.29.jpg,0.002,0.0,0.001,0.003,0.0,0.917,0.017,0.06
surprise.33.jpg,0.002,0.0,0.002,0.05,0.0,0.63,0.01,0.305
surprise.36.jpg,0.001,0.001,0.001,0.002,0.0,0.86,0.005,0.13
surprise.38.jpg,0.001,0.0,0.001,0.011,0.0,0.697,0.004,0.287
surprise.45.jpg,0.002,0.0,0.001,0.003,0.0,0.917,0.017,0.06
surprise.50.jpg,0.002,0.001,0.001,0.006,0.0,0.947,0.023,0.02
surprise.63.jpg,0.002,0.0,0.001,0.003,0.0,0.917,0.017,0.06
surprise.66.jpg,0.002,0.0,0.001,0.003,0.0,0.917,0.017,0.06
surprise.69.jpg,0.017,0.0,0.002,0.006,0.0,0.543,0.001,0.432
surprise.70.jpg,0.002,0.0,0.001,0.003,0.0,0.917,0.017,0.06
surprise.72.jpg,0.002,0.001,0.0,0.005,0.0,0.943,0.006,0.043
surprise.77.jpg,0.001,0.0,0.001,0.011,0.0,0.697,0.004,0.287
surprise.79.jpg,0.001,0.0,0.001,0.011,0.0,0.697,0.004,0.287
surprise.8.jpg,0.003,0.001,0.002,0.016,0.0,0.835,0.008,0.134
surprise.9.jpg,0.002,0.0,0.001,0.003,0.0,0.917,0.017,0.06
