image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
joy.13.jpg,0.008,0.002,0.041,0.0,0.425,0.514,0.007,0.001
joy.15.jpg,0.001,0.0,0.001,0.003,0.828,0.058,0.092,0.017
joy.18.jpg,0.001,0.0,0.001,0.003,0.828,0.058,0.092,0.017
joy.22.jpg,0.002,0.0,0.0,0.009,0.98,0.0,0.008,0.001
joy.28.jpg,0.0,0.0,0.0,0.0,0.959,0.041,0.0,0.0
joy.31.jpg,0.0,0.001,0.0,0.0,0.839,0.16,0.0,0.0
joy.37.jpg,0.002,0.0,0.0,0.009,0.98,0.0,0.008,0.001
joy.40.jpg,0.001,0.0,0.001,0.003,0.828,0.058,0.092,0.017
joy.44.jpg,0.0,0.0,0.0,0.0,0.959,0.041,0.0,0.0
joy.45.jpg,0.0,0.001,0.0,0.0,0.839,0.16,0.0,0.0
joy.46.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.49.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.5.jpg,0.0,0.001,0.0,0.0,0.04,0.917,0.0,0.042
joy.57.jpg,0.001,0.0,0.001,0.003,0.828,0.058,0.092,0.017
joy.58.jpg,0.001,0.0,0.001,0.003,0.828,0.058,0.092,0.017
joy.68.jpg,0.002,0.0,0.0,0.009,0.98,0.0,0.008,0.001
joy.7.jpg,0.0,0.0,0.0,0.0,0.631,0.366,0.002,0.0
joy.72.jpg,0.0,0.001,0.0,0.0,0.839,0.16,0.0,0.0
joy.73.jpg,0.002,0.0,0.0,0.009,0.98,0.0,0.008,0.001
joy.9.jpg,0.0,0.001,0.0,0.0,0.839,0.16,0.0,0.0
neutral.1.jpg,0.0,0.0,0.0,0.0,0.039,0.959,0.001,0.0
neutral.12.jpg,0.0,0.0,0.0,0.0,0.0,0.718,0.0,0.281
neutral.18.jpg,0.0,0.001,0.0,0.0,0.075,0.922,0.001,0.0
neutral.29.jpg,0.001,0.001,0.0,0.0,0.002,0.986,0.009,0.0
neutral.32.jpg,0.0,0.002,0.0,0.0,0.147,0.85,0.001,0.0
neutral.35.jpg,0.011,0.001,0.0,0.0,0.0,0.97,0.016,0.0
neutral.36.jpg,0.003,0.003,0.001,0.0,0.01,0.973,0.001,0.008
neutral.38.jpg,0.0,0.0,0.0,0.0,0.0,0.985,0.003,0.012
neutral.40.jpg,0.0,0.001,0.0,0.0,0.43,0.568,0.0,0.0
neutral.42.jpg,0.0,0.0,0.0,0.0,0.659,0.341,0.0,0.0
neutral.43.jpg,0.003,0.001,0.0,0.0,0.001,0.992,0.003,0.0
neutral.47.jpg,0.0,0.0,0.0,0.0,0.003,0.994,0.001,0.003
neutral.50.jpg,0.002,0.0,0.0,0.0,0.0,0.996,0.002,0.0
neutral.61.jpg,0.0,0.0,0.0,0.0,0.312,0.687,0.0,0.0
neutral.65.jpg,0.0,0.001,0.0,0.0,0.001,0.996,0.001,0.0
neutral.69.jpg,0.0,0.0,0.0,0.0,0.039,0.959,0.001,0.0
neutral.70.jpg,0.003,0.001,0.0,0.0,0.0,0.987,0.008,0.0
neutral.73.jpg,0.003,0.001,0.0,0.0,0.0,0.987,0.008,0.0
neutral.77.jpg,0.001,0.0,0.0,0.0,0.567,0.425,0.004,0.001
neutral.78.jpg,0.0,0.001,0.0,0.0,0.0,0.996,0.002,0.001
surprise.11.jpg,0.005,0.001,0.0,0.001,0.0,0.659,0.0,0.334
surprise.17.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.21.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.23.jpg,0.007,0.001,0.002,0.001,0.001,0.711,0.001,0.277
surprise.28.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.29.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.30.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.33.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.34.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.4.jpg,0.007,0.001,0.002,0.001,0.001,0.711,0.001,0.277
surprise.40.jpg,0.0,0.001,0.0,0.0,0.011,0.763,0.0,0.225
surprise.46.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.49.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.5.jpg,0.007,0.001,0.003,0.001,0.021,0.89,0.005,0.073
surprise.53.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.55.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.59.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.63.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
surprise.70.jpg,0.0,0.0,0.0,0.0,0.001,0.891,0.0,0.107
surprise.74.jpg,0.0,0.002,0.0,0.0,0.161,0.835,0.002,0.0
