image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
joy.1.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.12.jpg,0.0,0.004,0.0,0.0,0.039,0.37,0.586,0.0
joy.21.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.22.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.32.jpg,0.0,0.001,0.0,0.0,0.654,0.124,0.221,0.0
joy.35.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.41.jpg,0.0,0.0,0.0,0.0,0.998,0.001,0.0,0.0
joy.45.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.53.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.57.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.58.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.6.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.62.jpg,0.0,0.004,0.002,0.0,0.682,0.101,0.211,0.0
joy.67.jpg,0.0,0.002,0.0,0.0,0.984,0.013,0.001,0.0
joy.68.jpg,0.0,0.002,0.0,0.0,0.984,0.013,0.001,0.0
joy.72.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.73.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.74.jpg,0.0,0.009,0.0,0.0,0.725,0.093,0.173,0.0
joy.78.jpg,0.0,0.009,0.0,0.0,0.725,0.093,0.173,0.0
joy.9.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sadness.12.jpg,0.0,0.0,0.0,0.0,0.0,0.154,0.846,0.0
sadness.15.jpg,0.003,0.02,0.001,0.001,0.026,0.631,0.317,0.001
sadness.18.jpg,0.0,0.001,0.0,0.0,0.0,0.055,0.944,0.0
sadness.23.jpg,0.0,0.005,0.0,0.0,0.007,0.241,0.748,0.0
sadness.31.jpg,0.001,0.268,0.002,0.001,0.008,0.262,0.459,0.0
sadness.32.jpg,0.001,0.268,0.002,0.001,0.008,0.262,0.459,0.0
sadness.33.jpg,0.0,0.002,0.0,0.0,0.0,0.399,0.599,0.0
sadness.39.jpg,0.001,0.268,0.002,0.001,0.008,0.262,0.459,0.0
sadness.43.jpg,0.004,0.072,0.0,0.0,0.004,0.708,0.212,0.0
sadness.44.jpg,0.003,0.01,0.0,0.0,0.002,0.435,0.55,0.0
sadness.45.jpg,0.0,0.002,0.0,0.0,0.0,0.399,0.599,0.0
sadness.54.jpg,0.004,0.072,0.0,0.0,0.004,0.708,0.212,0.0
sadness.56.jpg,0.001,0.006,0.0,0.0,0.0,0.681,0.312,0.0
sadness.6.jpg,0.001,0.003,0.0,0.0,0.0,0.511,0.485,0.0
sadness.64.jpg,0.0,0.005,0.0,0.0,0.007,0.241,0.748,0.0
sadness.72.jpg,0.0,0.004,0.0,0.0,0.0,0.342,0.654,0.0
sadness.74.jpg,0.003,0.01,0.0,0.0,0.002,0.435,0.55,0.0
sadness.75.jpg,0.0,0.004,0.0,0.0,0.0,0.342,0.654,0.0
sadness.77.jpg,0.003,0.01,0.0,0.0,0.002,0.435,0.55,0.0
sadness.8.jpg,0.0,0.002,0.0,0.0,0.0,0.399,0.599,0.0
