image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
anger.12.jpg,0.127,0.0,0.027,0.001,0.001,0.257,0.0,0.587
anger.13.jpg,0.194,0.001,0.035,0.013,0.508,0.009,0.009,0.23
anger.20.jpg,0.194,0.001,0.035,0.013,0.508,0.009,0.009,0.23
anger.21.jpg,0.646,0.001,0.048,0.0,0.001,0.297,0.004,0.002
anger.25.jpg,,,,,,,,
anger.26.jpg,0.194,0.001,0.035,0.013,0.508,0.009,0.009,0.23
anger.27.jpg,0.194,0.001,0.035,0.013,0.508,0.009,0.009,0.23
anger.34.jpg,0.646,0.001,0.048,0.0,0.001,0.297,0.004,0.002
anger.38.jpg,0.646,0.001,0.048,0.0,0.001,0.297,0.004,0.002
anger.46.jpg,0.646,0.001,0.048,0.0,0.001,0.297,0.004,0.002
anger.47.jpg,0.194,0.001,0.035,0.013,0.508,0.009,0.009,0.23
anger.48.jpg,,,,,,,,
anger.51.jpg,0.127,0.0,0.027,0.001,0.001,0.257,0.0,0.587
anger.61.jpg,0.646,0.001,0.048,0.0,0.001,0.297,0.004,0.002
anger.63.jpg,0.194,0.001,0.035,0.013,0.508,0.009,0.009,0.23
anger.64.jpg,0.653,0.008,0.151,0.0,0.006,0.178,0.003,0.001
anger.71.jpg,0.194,0.001,0.035,0.013,0.508,0.009,0.009,0.23
anger.73.jpg,0.127,0.0,0.027,0.001,0.001,0.257,0.0,0.587
anger.75.jpg,0.194,0.001,0.035,0.013,0.508,0.009,0.009,0.23
anger.79.jpg,0.194,0.001,0.035,0.013,0.508,0.009,0.009,0.23
joy.16.jpg,0.0,0.001,0.001,0.0,0.994,0.004,0.0,0.0
joy.2.jpg,,,,,,,,
joy.20.jpg,,,,,,,,
joy.29.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.32.jpg,,,,,,,,
joy.34.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.37.jpg,0.0,0.0,0.001,0.0,0.998,0.002,0.0,0.0
joy.38.jpg,,,,,,,,
joy.39.jpg,,,,,,,,
joy.4.jpg,,,,,,,,
joy.40.jpg,,,,,,,,
joy.42.jpg,,,,,,,,
joy.43.jpg,,,,,,,,
joy.44.jpg,,,,,,,,
joy.50.jpg,,,,,,,,
joy.54.jpg,0.009,0.007,0.023,0.002,0.711,0.154,0.005,0.09
joy.58.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.67.jpg,0.0,0.003,0.0,0.0,0.163,0.831,0.003,0.0
joy.68.jpg,0.0,0.001,0.001,0.0,0.201,0.796,0.001,0.0
joy.71.jpg,0.004,0.001,0.009,0.0,0.984,0.003,0.0,0.0
neutral.12.jpg,0.001,0.002,0.001,0.0,0.0,0.993,0.004,0.0
neutral.14.jpg,0.001,0.002,0.001,0.0,0.0,0.993,0.004,0.0
neutral.18.jpg,0.0,0.0,0.0,0.0,0.944,0.055,0.0,0.0
neutral.20.jpg,0.0,0.0,0.0,0.0,0.944,0.055,0.0,0.0
neutral.21.jpg,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
neutral.23.jpg,0.004,0.001,0.022,0.0,0.001,0.968,0.003,0.001
neutral.26.jpg,0.0,0.002,0.0,0.0,0.022,0.969,0.006,0.0
neutral.29.jpg,0.004,0.001,0.022,0.0,0.001,0.968,0.003,0.001
neutral.35.jpg,0.0,0.001,0.0,0.0,0.001,0.981,0.015,0.0
neutral.37.jpg,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
neutral.47.jpg,0.004,0.001,0.022,0.0,0.001,0.968,0.003,0.001
neutral.51.jpg,0.0,0.0,0.0,0.0,0.944,0.055,0.0,0.0
neutral.61.jpg,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
neutral.64.jpg,0.0,0.0,0.0,0.0,0.944,0.055,0.0,0.0
neutral.65.jpg,0.004,0.001,0.022,0.0,0.001,0.968,0.003,0.001
neutral.7.jpg,0.001,0.002,0.001,0.0,0.0,0.993,0.004,0.0
neutral.71.jpg,0.004,0.001,0.022,0.0,0.001,0.968,0.003,0.001
neutral.72.jpg,0.004,0.001,0.022,0.0,0.001,0.968,0.003,0.001
neutral.74.jpg,0.0,0.002,0.0,0.0,0.022,0.969,0.006,0.0
neutral.9.jpg,0.0,0.002,0.0,0.0,0.022,0.969,0.006,0.0
