image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
joy.1.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.15.jpg,0.001,0.001,0.001,0.0,0.571,0.426,0.001,0.0
joy.29.jpg,0.0,0.0,0.0,0.0,0.996,0.003,0.0,0.0
joy.3.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.30.jpg,0.0,0.002,0.0,0.0,0.834,0.162,0.0,0.0
joy.34.jpg,0.001,0.0,0.004,0.0,0.982,0.013,0.0,0.0
joy.42.jpg,0.0,0.002,0.0,0.0,0.732,0.265,0.0,0.0
joy.43.jpg,0.0,0.002,0.0,0.0,0.834,0.162,0.0,0.0
joy.51.jpg,0.0,0.001,0.0,0.0,0.871,0.127,0.0,0.0
joy.52.jpg,0.0,0.001,0.0,0.0,0.871,0.127,0.0,0.0
joy.55.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.58.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.60.jpg,0.0,0.0,0.0,0.0,0.997,0.002,0.0,0.0
joy.65.jpg,0.0,0.0,0.0,0.0,0.988,0.012,0.0,0.0
joy.67.jpg,0.0,0.002,0.0,0.0,0.834,0.162,0.0,0.0
joy.7.jpg,0.001,0.001,0.001,0.0,0.967,0.03,0.0,0.0
joy.70.jpg,0.0,0.001,0.0,0.0,0.871,0.127,0.0,0.0
joy.72.jpg,0.0,0.0,0.0,0.0,0.994,0.006,0.0,0.0
joy.73.jpg,0.001,0.001,0.001,0.0,0.967,0.03,0.0,0.0
joy.76.jpg,0.0,0.0,0.0,0.0,0.923,0.076,0.0,0.0
neutral.0.jpg,0.0,0.001,0.0,0.0,0.937,0.062,0.0,0.0
neutral.11.jpg,0.0,0.001,0.0,0.0,0.843,0.155,0.0,0.0
neutral.13.jpg,0.002,0.002,0.003,0.0,0.541,0.452,0.001,0.0
neutral.16.jpg,0.0,0.001,0.0,0.0,0.554,0.445,0.0,0.0
neutral.19.jpg,0.001,0.002,0.001,0.0,0.122,0.874,0.001,0.0
neutral.24.jpg,0.004,0.003,0.005,0.0,0.182,0.806,0.001,0.0
neutral.3.jpg,0.004,0.002,0.006,0.0,0.328,0.658,0.001,0.0
neutral.31.jpg,0.0,0.002,0.0,0.0,0.562,0.435,0.0,0.0
neutral.34.jpg,0.004,0.002,0.006,0.0,0.328,0.658,0.001,0.0
neutral.36.jpg,0.002,0.004,0.003,0.0,0.508,0.483,0.001,0.0
neutral.41.jpg,0.0,0.001,0.0,0.0,0.825,0.174,0.0,0.0
neutral.46.jpg,0.0,0.001,0.0,0.0,0.822,0.176,0.0,0.0
neutral.48.jpg,0.0,0.001,0.0,0.0,0.344,0.654,0.0,0.0
neutral.56.jpg,0.0,0.002,0.001,0.0,0.886,0.111,0.0,0.0
neutral.6.jpg,0.003,0.002,0.004,0.0,0.045,0.945,0.0,0.0
neutral.62.jpg,0.003,0.002,0.001,0.0,0.001,0.991,0.001,0.0
neutral.64.jpg,0.0,0.001,0.0,0.0,0.822,0.176,0.0,0.0
neutral.65.jpg,0.0,0.002,0.001,0.0,0.886,0.111,0.0,0.0
neutral.69.jpg,0.0,0.001,0.0,0.0,0.843,0.155,0.0,0.0
neutral.79.jpg,0.0,0.002,0.001,0.0,0.886,0.111,0.0,0.0
