image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
anger.12.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.17.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.22.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.23.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.25.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.28.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.29.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.3.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.34.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.35.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.40.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.43.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.50.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.51.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.57.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.63.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.64.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.71.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.76.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
anger.8.jpg,0.113,0.001,0.002,0.0,0.001,0.877,0.002,0.002
joy.1.jpg,0.002,0.006,0.0,0.0,0.388,0.603,0.0,0.0
joy.10.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.17.jpg,0.0,0.002,0.0,0.0,0.572,0.424,0.001,0.0
joy.30.jpg,0.287,0.004,0.038,0.001,0.338,0.317,0.012,0.003
joy.31.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.34.jpg,0.287,0.004,0.038,0.001,0.338,0.317,0.012,0.003
joy.38.jpg,0.0,0.002,0.0,0.0,0.572,0.424,0.001,0.0
joy.4.jpg,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0
joy.40.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.44.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.45.jpg,0.0,0.003,0.001,0.0,0.729,0.215,0.053,0.0
joy.50.jpg,0.287,0.004,0.038,0.001,0.338,0.317,0.012,0.003
joy.54.jpg,0.0,0.002,0.0,0.0,0.572,0.424,0.001,0.0
joy.56.jpg,0.287,0.004,0.038,0.001,0.338,0.317,0.012,0.003
joy.6.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.62.jpg,0.0,0.002,0.0,0.0,0.572,0.424,0.001,0.0
joy.66.jpg,0.0,0.003,0.001,0.0,0.729,0.215,0.053,0.0
joy.69.jpg,0.0,0.002,0.0,0.0,0.572,0.424,0.001,0.0
joy.7.jpg,0.287,0.004,0.038,0.001,0.338,0.317,0.012,0.003
joy.73.jpg,0.0,0.003,0.001,0.0,0.729,0.215,0.053,0.0
neutral.0.jpg,0.001,0.001,0.0,0.0,0.001,0.985,0.012,0.0
neutral.11.jpg,0.0,0.005,0.0,0.0,0.044,0.948,0.002,0.0
neutral.13.jpg,0.001,0.0,0.0,0.0,0.0,0.971,0.028,0.0
neutral.15.jpg,0.0,0.001,0.0,0.0,0.001,0.954,0.043,0.0
neutral.16.jpg,0.002,0.005,0.0,0.0,0.005,0.985,0.004,0.0
neutral.25.jpg,0.004,0.005,0.0,0.0,0.0,0.987,0.004,0.0
neutral.26.jpg,0.001,0.001,0.0,0.0,0.001,0.956,0.041,0.0
neutral.29.jpg,0.001,0.003,0.001,0.0,0.354,0.636,0.006,0.0
neutral.31.jpg,0.0,0.005,0.0,0.0,0.044,0.948,0.002,0.0
neutral.32.jpg,0.001,0.003,0.001,0.0,0.354,0.636,0.006,0.0
neutral.35.jpg,0.0,0.176,0.0,0.0,0.007,0.814,0.002,0.0
neutral.39.jpg,0.001,0.003,0.001,0.0,0.354,0.636,0.006,0.0
