image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
joy.13.jpg,0.0,0.0,0.0,0.0,0.986,0.013,0.0,0.0
joy.29.jpg,0.0,0.0,0.0,0.0,0.986,0.013,0.0,0.0
joy.30.jpg,0.0,0.0,0.0,0.0,0.998,0.001,0.0,0.0
joy.31.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.35.jpg,0.0,0.001,0.0,0.0,0.992,0.007,0.0,0.0
joy.36.jpg,0.0,0.001,0.0,0.0,0.985,0.013,0.0,0.0
joy.38.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.42.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.44.jpg,0.0,0.0,0.0,0.0,0.998,0.001,0.0,0.0
joy.48.jpg,0.0,0.001,0.0,0.0,0.985,0.013,0.0,0.0
joy.50.jpg,0.001,0.002,0.001,0.0,0.36,0.629,0.006,0.0
joy.51.jpg,0.0,0.0,0.0,0.0,0.998,0.001,0.0,0.0
joy.54.jpg,0.0,0.001,0.0,0.0,0.985,0.013,0.0,0.0
joy.6.jpg,0.0,0.001,0.0,0.0,0.992,0.007,0.0,0.0
joy.62.jpg,0.0,0.001,0.0,0.0,0.985,0.013,0.0,0.0
joy.64.jpg,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0.0
joy.68.jpg,0.0,0.001,0.0,0.0,0.985,0.013,0.0,0.0
joy.7.jpg,0.0,0.0,0.0,0.0,0.998,0.001,0.0,0.0
joy.72.jpg,0.0,0.001,0.0,0.0,0.985,0.013,0.0,0.0
joy.77.jpg,0.0,0.0,0.0,0.0,0.998,0.001,0.0,0.0
neutral.17.jpg,0.001,0.002,0.0,0.0,0.0,0.899,0.097,0.0
neutral.19.jpg,0.0,0.002,0.0,0.0,0.0,0.97,0.028,0.0
neutral.2.jpg,0.0,0.005,0.0,0.0,0.0,0.972,0.022,0.0
neutral.22.jpg,0.0,0.003,0.0,0.0,0.413,0.584,0.0,0.0
neutral.25.jpg,0.0,0.0,0.0,0.0,0.98,0.019,0.0,0.0
neutral.26.jpg,0.0,0.001,0.0,0.0,0.0,0.983,0.015,0.0
neutral.28.jpg,0.0,0.004,0.0,0.0,0.0,0.959,0.035,0.0
neutral.29.jpg,0.001,0.006,0.001,0.0,0.335,0.65,0.006,0.002
neutral.3.jpg,0.001,0.004,0.0,0.0,0.0,0.972,0.024,0.0
neutral.35.jpg,0.0,0.001,0.0,0.0,0.0,0.982,0.017,0.0
neutral.4.jpg,0.001,0.005,0.0,0.0,0.005,0.975,0.013,0.0
neutral.40.jpg,0.0,0.002,0.0,0.0,0.0,0.985,0.012,0.001
neutral.41.jpg,0.0,0.001,0.0,0.0,0.0,0.976,0.022,0.0
neutral.44.jpg,0.0,0.001,0.0,0.0,0.0,0.97,0.029,0.0
neutral.48.jpg,0.0,0.0,0.0,0.0,0.0,0.837,0.163,0.0
neutral.5.jpg,0.0,0.002,0.0,0.0,0.008,0.974,0.016,0.0
neutral.50.jpg,0.0,0.003,0.0,0.0,0.413,0.584,0.0,0.0
neutral.57.jpg,0.0,0.005,0.0,0.0,0.0,0.972,0.022,0.0
neutral.61.jpg,0.0,0.002,0.0,0.0,0.008,0.974,0.016,0.0
neutral.64.jpg,0.0,0.001,0.0,0.0,0.0,0.976,0.022,0.0
