image,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
joy.11.jpg,0.0,0.006,0.0,0.0,0.731,0.262,0.0,0.0
joy.17.jpg,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0.0
joy.18.jpg,0.0,0.0,0.0,0.0,0.97,0.024,0.0,0.005
joy.22.jpg,0.0,0.0,0.0,0.0,0.998,0.001,0.0,0.0
joy.24.jpg,0.0,0.001,0.0,0.0,0.818,0.18,0.001,0.0
joy.26.jpg,0.0,0.001,0.0,0.0,0.967,0.03,0.002,0.0
joy.3.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.35.jpg,0.0,0.0,0.0,0.0,0.97,0.024,0.0,0.005
joy.40.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.43.jpg,0.0,0.0,0.0,0.0,0.987,0.012,0.0,0.0
joy.48.jpg,0.0,0.002,0.0,0.0,0.615,0.382,0.001,0.0
joy.51.jpg,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0.0
joy.52.jpg,0.0,0.006,0.0,0.0,0.731,0.262,0.0,0.0
joy.59.jpg,0.0,0.0,0.0,0.0,0.998,0.001,0.0,0.0
joy.60.jpg,0.0,0.006,0.0,0.0,0.731,0.262,0.0,0.0
joy.65.jpg,0.0,0.0,0.0,0.0,0.987,0.012,0.0,0.0
joy.7.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
joy.71.jpg,0.0,0.001,0.0,0.0,0.822,0.177,0.0,0.0
joy.79.jpg,,,,,,,,
joy.8.jpg,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0
neutral.1.jpg,0.0,0.002,0.0,0.0,0.008,0.988,0.001,0.0
neutral.12.jpg,0.0,0.001,0.0,0.0,0.829,0.17,0.0,0.0
neutral.13.jpg,0.001,0.0,0.0,0.0,0.0,0.978,0.021,0.0
neutral.18.jpg,0.0,0.004,0.0,0.0,0.236,0.729,0.005,0.027
neutral.27.jpg,0.0,0.0,0.0,0.0,0.001,0.985,0.013,0.001
neutral.39.jpg,0.0,0.0,0.0,0.0,0.645,0.354,0.0,0.0
neutral.4.jpg,0.0,0.001,0.0,0.0,0.913,0.086,0.0,0.001
neutral.40.jpg,0.0,0.001,0.0,0.0,0.913,0.086,0.0,0.001
neutral.45.jpg,0.0,0.0,0.0,0.0,0.806,0.194,0.0,0.0
neutral.46.jpg,0.0,0.004,0.0,0.0,0.236,0.729,0.005,0.027
neutral.50.jpg,0.0,0.0,0.0,0.0,0.959,0.041,0.0,0.0
neutral.6.jpg,0.0,0.0,0.0,0.0,0.053,0.726,0.22,0.0
neutral.65.jpg,0.0,0.0,0.0,0.0,0.645,0.354,0.0,0.0
neutral.68.jpg,0.0,0.0,0.0,0.0,0.645,0.354,0.0,0.0
neutral.69.jpg,0.0,0.006,0.0,0.0,0.641,0.352,0.0,0.0
neutral.7.jpg,0.0,0.0,0.0,0.0,0.03,0.969,0.0,0.0
neutral.71.jpg,0.0,0.001,0.0,0.0,0.188,0.811,0.001,0.0
neutral.75.jpg,0.0,0.001,0.0,0.0,0.913,0.086,0.0,0.001
neutral.77.jpg,0.0,0.0,0.0,0.0,0.943,0.057,0.0,0.0
neutral.78.jpg,0.0,0.0,0.0,0.0,0.683,0.316,0.001,0.0
